date,nv total gas sold,nv share of usa gas,average state tax excl. nv,nv excise tax
2022-02-01,91322937.0,0.008695308766711124,0.32510150633204327,0.23805
2022-03-01,99068258.0,0.008602513411614146,0.32361043816597435,0.23805
2022-04-01,102183798.0,0.008577867755615016,0.3231536951856088,0.23805
2022-05-01,104323945.0,0.00870673061244616,0.3228861619478652,0.23805
2022-06-01,100582002.0,0.008460582010531074,0.32300832584721023,0.23805
2022-07-01,104841554.0,0.008753900053801379,0.3222443043502277,0.23805
2022-08-01,106977057.0,0.008716278555884447,0.3238591568252638,0.23805
2022-09-01,102702418.0,0.008603269595512145,0.3226209043883794,0.23805
2022-10-01,102892261.0,0.008541484390699348,0.3216038970488059,0.23805
2022-11-01,97753947.0,0.008346677986262041,0.3226525836395453,0.23805
2022-12-01,98451972.0,0.008467664926590244,0.32259662886584717,0.23805
2023-01-01,93962099.0,0.1,0.3272627742244697,0.23805
2023-02-01,88800869.0,0.1,0.3299729742135563,0.23805
2023-03-01,98058922.0,0.1,0.328380205228649,0.23805
2023-04-01,101352308.0,0.1,0.3285436789259128,0.23805
2023-05-01,105846263.0,0.1,0.32882759629303954,0.23805
2023-06-01,102680509.0,0.1,0.32677241312536615,0.23805
2023-07-01,108134467.0,0.1,0.3274598385545503,0.23805
2023-08-01,99305873.0,0.1,0.32791485964516687,0.23805
2023-09-01,94169724.0,0.1,0.32824838074480167,0.23805
2023-10-01,130759047.0,0.1,0.3276473813631142,0.23805
2023-11-01,88026367.0,0.1,0.3274570892456028,0.23805
2023-12-01,88671943.0,0.1,0.3285851980822129,0.23805
