national retail excl. ca (nominal) (severin),ca total fees and taxes (severin),cax cost (severin),lcfs cost (severin),unexplained differential (nominal) (severin),explained differential (nominal) (severin),quantity gas sold (severin),annual average daily usage (severin),extra payment (severin),unexplained differential (real) (severin),california gas (retail) (nominal) (severin),average state tax excl. ca (severin),ust fee (severin),ca state gas tax (severin),ca state.local tax cost (severin),date
2.670333333,0.651966102,0.0,0.0,-0.04440678,0.391073446,1237725377.0,40.73930128,-54963398.1,-0.062546882,3.017,0.176892655,0.02,0.353,0.467966102,2010-09-01
2.768,0.654515738,0.0,0.0,-0.063906376,0.393906376,1256958886.0,40.73930128,-80327687.32,-0.08990009,3.098,0.176609362,0.02,0.353,0.470515738,2010-10-01
2.825888889,0.656372881,0.0,0.0,-0.064858757,0.395969868,1200852654.0,40.73930128,-77885810.55,-0.091201486,3.157,0.176403013,0.02,0.353,0.472372881,2010-11-01
2.964444444,0.659300242,0.0,0.0,-0.113666936,0.399222491,1232128839.0,40.73930128,-140052309.5,-0.159559172,3.25,0.176077751,0.02,0.353,0.475300242,2010-12-01
3.067555556,0.662196126,0.0,0.0,-0.121329029,0.395773473,1204096468.0,40.00415615,-146091855.0,-0.169507379,3.342,0.182422653,0.02,0.353,0.478196126,2011-01-01
3.175555556,0.668113801,0.0,0.0,-0.047904224,0.402348668,1131200286.0,40.00415615,-54189271.7,-0.066598017,3.53,0.181765133,0.02,0.353,0.484113801,2011-02-01
3.517111111,0.681523002,0.0,0.0,0.021641108,0.41724778,1237807877.0,40.00415615,26787534.47,0.029795636,3.956,0.180275222,0.02,0.353,0.497523002,2011-03-01
3.76,0.68794431,0.0,0.0,-0.024382567,0.424382567,1204833929.0,40.00415615,-29376943.5,-0.033355307,4.16,0.179561743,0.02,0.353,0.50394431,2011-04-01
3.875444444,0.688605327,0.0,0.0,-0.119561474,0.42511703,1237497276.0,40.00415615,-147956998.8,-0.162794066,4.181,0.179488297,0.02,0.353,0.504605327,2011-05-01
3.653555556,0.680326877,0.0,0.0,-0.151474307,0.415918752,1220789762.0,40.00415615,-184918283.5,-0.206467476,3.918,0.180408125,0.02,0.353,0.496326877,2011-06-01
3.633555556,0.680549637,0.0,0.0,-0.251721819,0.416166263,1245916412.0,40.00415615,-313624345.1,-0.342806383,3.798,0.180383374,0.02,0.357,0.496549637,2011-07-01
3.623666667,0.67988862,0.0,0.0,-0.262098467,0.4154318,1269658460.0,40.00415615,-332775535.4,-0.3559562,3.777,0.18045682,0.02,0.357,0.49588862,2011-08-01
3.576111111,0.684547215,0.0,0.0,-0.071719128,0.420608017,1211495250.0,40.00415615,-86887383.31,-0.097254146,3.925,0.179939198,0.02,0.357,0.500547215,2011-09-01
3.404,0.681997579,0.0,0.0,0.022224913,0.417775087,1233852207.0,40.00415615,27422257.42,0.030200207,3.844,0.180222491,0.02,0.357,0.497997579,2011-10-01
3.337777778,0.680612591,0.0,0.0,0.04598601,0.416236212,1169249871.0,40.00415615,53769136.52,0.062540608,3.8,0.180376379,0.02,0.357,0.496612591,2011-11-01
3.228888889,0.674317191,0.0,0.0,-0.038130213,0.409241324,1233735965.0,40.00415615,-47042614.56,-0.051985008,3.6,0.181075868,0.02,0.357,0.490317191,2011-12-01
3.344555556,0.687433414,0.0,0.01,-0.053814904,0.408259349,1165769473.0,39.63290594,-62735772.85,-0.073047385,3.699,0.195174065,0.02,0.357,0.493433414,2012-01-01
3.534444444,0.69627845,0.0,0.01,0.027468388,0.418087167,1154582904.0,39.63290594,31714531.75,0.037121652,3.98,0.194191283,0.02,0.357,0.50227845,2012-02-01
3.794777778,0.708460048,0.0,0.01,0.140599946,0.431622276,1237090205.0,39.63290594,173934816.3,0.188579053,4.367,0.192837772,0.02,0.357,0.514460048,2012-03-01
3.861666667,0.704619855,0.0,0.01,-0.044022061,0.427355394,1183756696.0,39.63290594,-52111409.25,-0.058866556,4.245,0.193264461,0.02,0.357,0.510619855,2012-04-01
3.668111111,0.706571429,0.0,0.01,0.209365079,0.42952381,1277903245.0,39.63290594,267548314.3,0.28029312,4.307,0.193047619,0.02,0.357,0.512571429,2012-05-01
3.478333333,0.699583535,0.0,0.01,0.184907183,0.421759483,1230283199.0,39.63290594,227488200.9,0.247912994,4.085,0.193824052,0.02,0.357,0.505583535,2012-06-01
3.401777778,0.692794189,0.0,0.01,-0.041993543,0.414215765,1230261987.0,39.63290594,-51663059.87,-0.056394456,3.774,0.194578423,0.02,0.36,0.498794189,2012-07-01
3.684111111,0.701891041,0.0,0.01,-0.04543449,0.424323379,1255713656.0,39.63290594,-57052709.77,-0.060677731,4.063,0.193567662,0.02,0.36,0.507891041,2012-08-01
3.813888889,0.705101695,0.0,0.01,-0.076779661,0.427890772,1194012527.0,39.63290594,-91675877.07,-0.102083667,4.165,0.193210923,0.02,0.36,0.511101695,2012-09-01
3.672,0.712876513,0.0,0.01,0.303470541,0.436529459,1220857664.0,39.63290594,370494335.5,0.403641257,4.412,0.192347054,0.02,0.36,0.518876513,2012-10-01
3.408222222,0.695060533,0.0,0.01,0.021043853,0.416733925,1162560411.0,39.63290594,24464749.89,0.028123339,3.846,0.194326607,0.02,0.36,0.501060533,2012-11-01
3.28,0.686687651,0.0,0.01,-0.107430724,0.407430724,1192002207.0,39.63290594,-128057659.8,-0.143959818,3.58,0.195256928,0.02,0.36,0.492687651,2012-12-01
3.284222222,0.688324455,0.0,0.01,-0.047027172,0.39480495,1169694474.0,39.81265273,-55007423.74,-0.062831758,3.632,0.209519505,0.02,0.36,0.494324455,2013-01-01
3.624666667,0.702363196,0.0,0.01,0.042929782,0.410403551,1097679113.0,39.81265273,47123125.12,0.056891401,4.078,0.207959645,0.02,0.36,0.508363196,2013-02-01
3.662888889,0.704440678,0.0,0.01,0.068399247,0.412711864,1237136829.0,39.81265273,84619227.17,0.09040767,4.144,0.207728814,0.02,0.36,0.510440678,2013-03-01
3.524111111,0.699372881,0.0,0.01,0.05180791,0.407080979,1207530235.0,39.81265273,62559617.26,0.068549103,3.983,0.208291902,0.02,0.36,0.505372881,2013-04-01
3.571666667,0.700065375,0.0,0.01,0.025482916,0.407850417,1259306999.0,39.81265273,32090814.89,0.033657534,4.005,0.208214958,0.02,0.36,0.506065375,2013-05-01
3.584111111,0.700002421,0.0,0.01,0.011108421,0.407780468,1216894566.0,39.81265273,13517776.87,0.014636747,4.003,0.208221953,0.02,0.36,0.506002421,2013-06-01
