date,wa total gas sold,wa share of usa gas,average state tax excl. wa,wa excise tax
2019-11-01,244354464.0,0.020482852795502462,0.30658874412483134,0.494
2019-12-01,229178816.0,0.018991304808628658,0.30557827526582987,0.494
2020-01-01,218446242.0,0.018687740439368623,0.31071986660280315,0.494
2020-02-01,217676927.0,0.019491199193479896,0.3115784698136135,0.494
2020-03-01,187175186.0,0.018025896982814253,0.307314301415339,0.494
2020-04-01,128694705.0,0.016342484004719496,0.30529032613289064,0.494
2020-05-01,193851961.0,0.02117354474203281,0.3071095607874048,0.494
2020-06-01,200782470.0,0.018328676043433086,0.30779618862796176,0.494
2020-07-01,222241996.0,0.019849780376317596,0.3105349891341927,0.494
2020-08-01,224252057.0,0.019152540081965732,0.3084397624806794,0.494
2020-09-01,205431922.0,0.018485756283893685,0.3056840481710049,0.494
2020-10-01,207880260.0,0.018509386972175423,0.31031278013756874,0.494
2020-11-01,181832677.0,0.016965478812418656,0.3075824482154016,0.494
2020-12-01,195913236.0,0.01846009356853688,0.30814954008604006,0.494
2021-01-01,185258710.0,0.01804896835244856,0.31077272191042404,0.494
2021-02-01,171280927.0,0.018221120372951788,0.312394568655115,0.494
2021-03-01,219449903.0,0.019252973447487907,0.31053417732751215,0.494
2021-04-01,220974370.0,0.018476348936939325,0.30911914468232743,0.494
2021-05-01,228554550.0,0.019297918737365794,0.3125422680199115,0.494
2021-06-01,238492549.0,0.019351785772792646,0.3105454148742956,0.494
2021-07-01,243738943.0,0.0193727256376413,0.31038308368721856,0.494
2021-08-01,240717035.0,0.01940825193794891,0.311780430528682,0.494
2021-09-01,227333582.0,0.018762231207911498,0.3107608653190282,0.494
2021-10-01,227864692.0,0.018706001995324188,0.3098638533088015,0.494
2021-11-01,207511531.0,0.01770022366999709,0.3112912918117614,0.494
2021-12-01,210046479.0,0.01776130143684401,0.3106595624222559,0.494
2022-01-01,192905378.0,0.01775672930591911,0.3192981275490106,0.494
2022-02-01,194997094.0,0.018566638312797507,0.3211350455190733,0.494
2022-03-01,226945990.0,0.019706674590836654,0.3194342937819901,0.494
2022-04-01,218444606.0,0.01833743684292716,0.31921864488199486,0.494
2022-05-01,222624198.0,0.01857990435271476,0.31889406481220944,0.494
