date,or total gas sold,or share of usa gas,average state tax excl. or,or excise tax
2017-06-01,144980944.0,0.011446389290468019,0.2649690062565723,0.3
2017-07-01,153311552.0,0.012198410416445324,0.2654101099591291,0.3
2017-08-01,155668720.0,0.012155047245257324,0.26680680265810564,0.3
2017-09-01,134740032.0,0.011041486952318777,0.2646011497478434,0.3
2017-10-01,137461152.0,0.011204474318445021,0.2664845740397826,0.3
2017-11-01,133136600.0,0.01124681535849209,0.26538607115232277,0.3
2017-12-01,131889744.0,0.010938921258006818,0.26585933279355617,0.3
2018-01-01,124578712.0,0.01077352487559105,0.28281592192516347,0.34
2018-02-01,116252856.0,0.010786890244221086,0.28364083542496654,0.34
2018-03-01,131650480.0,0.010865668167371874,0.2832561244899113,0.34
2018-04-01,133878160.0,0.011184963585669259,0.28308711901391387,0.34
2018-05-01,146382576.0,0.011435584352870573,0.2832770092524394,0.34
2018-06-01,136620864.0,0.010874747864093948,0.281247631142235,0.34
2018-07-01,149204800.0,0.01180179080345556,0.28352131752395593,0.34
2018-08-01,146863296.0,0.011691091310563582,0.2854201410877444,0.34
2018-09-01,160346160.0,0.013020780279928233,0.2803527102250665,0.34
2018-10-01,141264864.0,0.011293073198456688,0.28399090335415117,0.34
2018-11-01,131629480.0,0.01079151944165585,0.28001568285482425,0.34
2018-12-01,130366168.0,0.01090809685725013,0.2845467119681139,0.34
2019-01-01,125886968.0,0.010799613418986005,0.3083833864775168,0.34
2019-02-01,101828792.0,0.009397650609312391,0.310025374129184,0.34
2019-03-01,142357632.0,0.011733648585723603,0.3094300428472189,0.34
2019-04-01,133627168.0,0.010802371313857568,0.3072326297079933,0.34
2019-05-01,142680864.0,0.011254354964126016,0.31020510243656424,0.34
2019-06-01,143954048.0,0.011492840403355992,0.3084550035515241,0.34
2019-07-01,150120784.0,0.011537896794837337,0.31132988004099543,0.34
2019-08-01,152242208.0,0.011732943696576483,0.30925099172834875,0.34
2019-09-01,137142064.0,0.011249597494573552,0.31067102245362227,0.34
2019-10-01,140589312.0,0.011244419528599123,0.31008313258662745,0.34
2019-11-01,129274728.0,0.010836369348270307,0.31010349157014383,0.34
2019-12-01,129888704.0,0.010763455418417662,0.3088210565849232,0.34
2020-01-01,114697540.0,0.009812198355667295,0.31369056075985885,0.36
2020-02-01,97925609.0,0.008768442193057181,0.3147371999499207,0.36
2020-03-01,143756998.0,0.013844510545893805,0.3099870741062234,0.36
2020-04-01,84977665.0,0.010791012194487037,0.3078111403385768,0.36
2020-05-01,99391296.0,0.010856047274263203,0.3105296413113319,0.36
2020-06-01,126443073.0,0.011542512266898404,0.31063931161344804,0.36
2020-07-01,134113157.0,0.011978459336841992,0.31362118252743176,0.36
2020-08-01,136284807.0,0.011639582100379414,0.31142835876144087,0.36
2020-09-01,121741702.0,0.010954906184241475,0.3086021523619383,0.36
2020-10-01,125292610.0,0.01115589043059623,0.31319051650283836,0.36
2020-11-01,116860601.0,0.010903409018567164,0.3102021448576012,0.36
2020-12-01,119984936.0,0.011305684039514867,0.31102668008447637,0.36
2021-01-01,111060870.0,0.010820188307612654,0.3135774848988608,0.36
2021-02-01,102394391.0,0.010892867971961007,0.31521579464385835,0.36
2021-03-01,125902771.0,0.011045813526872011,0.3135533994513293,0.36
2021-04-01,130842321.0,0.010940130199330465,0.312010051593106,0.36
2021-05-01,134244210.0,0.011334860126573146,0.31554007758410746,0.36
2021-06-01,138316714.0,0.011223308356373973,0.313574541467994,0.36
2021-07-01,148382147.0,0.011793628822601238,0.31339054926781507,0.36
2021-08-01,141805880.0,0.011433358861879264,0.31480020840319756,0.36
2021-09-01,132544125.0,0.01093909442072805,0.31369227576240616,0.36
2021-10-01,81464717.0,0.006687649347405347,0.31299394441928996,0.36
